,gender,race,age,height,Colorblind
160,male,asian,21,157.05,False
161,male,asian,21,154.43,False
162,male,black,28,166.68,True
163,male,white,14,165.74,False
164,male,white,14,172.82,True
165,male,white,14,167.62,False
166,male,asian,21,164.74,False
167,male,white,14,152.21,False
168,male,white,14,160.7,False
169,male,white,14,162.87,False
170,male,white,14,169.21,False
171,male,asian,21,157.84,False
172,male,asian,21,154.46,True
173,female,asian,19,145.43,False
174,female,white,21,161.75,False
175,female,white,21,158.43,False
176,female,white,21,155.26,False
177,male,asian,21,153.9,False
178,female,white,21,161.71,False
179,female,asian,19,149.21,False
180,female,black,29,154.57,False
181,female,white,21,152.25,False
182,male,asian,21,144.59,False
183,male,asian,21,156.56,False
184,male,asian,21,155.46,False
185,female,white,21,174.83,False
186,male,asian,21,160.13,False
187,female,asian,19,176.6,False
188,male,asian,21,163.67,False
189,male,asian,21,155.97,False
190,male,asian,21,164.89,False
191,female,asian,19,155.2,False
192,female,white,21,159.69,False
193,male,asian,21,161.47,False
194,male,black,28,159.69,False
195,female,asian,19,161.26,False
196,male,white,14,158.81,True
197,female,white,21,159.06,False
198,male,white,14,160.12,True
199,female,asian,19,160.38,False
200,female,white,21,153.82,False
201,male,black,28,165.67,False
202,male,white,14,164.77,False
203,female,asian,19,165.16,False
204,male,asian,21,146.03,False
205,female,white,21,172.18,False
206,male,asian,21,179.79,False
207,female,asian,19,166.72,False
208,female,white,21,169.52,False
209,female,black,29,161.5,False
210,female,black,29,148.61,False
211,female,asian,19,160.6,False
212,female,black,29,151.0,False
213,male,asian,21,145.06,False
214,male,black,28,149.7,False
215,male,white,14,160.35,False
216,female,asian,19,151.14,False
217,female,asian,19,168.64,False
218,male,white,14,155.9,False
219,male,white,14,154.23,False
220,male,white,14,153.69,False
221,male,black,28,171.42,False
222,female,asian,19,147.64,False
223,female,white,21,161.95,False
224,male,black,28,149.75,False
225,female,asian,19,152.27,False
226,male,asian,21,155.37,False
227,male,white,14,164.71,False
228,male,asian,21,159.48,False
229,female,asian,19,167.26,False
230,male,black,28,160.92,False
231,male,asian,21,160.1,False
232,male,white,14,160.99,False
233,female,asian,19,134.64,False
234,female,white,21,169.56,False
235,male,asian,21,160.49,False
236,male,white,14,166.91,False
237,female,asian,19,161.68,False
238,female,white,21,166.6,False
239,female,asian,19,165.73,False
240,male,asian,21,167.75,True
241,female,asian,19,163.42,False
242,male,asian,21,150.21,False
243,female,black,29,154.06,False
244,female,white,21,171.04,False
245,male,asian,21,165.22,False
246,female,asian,19,157.94,False
247,female,black,29,163.67,False
248,female,asian,19,134.59,False
249,male,black,28,168.77,False
250,female,black,29,158.97,False
251,male,asian,21,150.2,False
252,male,asian,21,154.45,False
253,male,black,28,161.7,False
254,female,white,21,165.18,True
255,male,asian,21,168.34,False
256,female,white,21,163.2,False
257,male,white,14,164.57,False
258,male,black,28,156.78,False
259,male,asian,21,154.52,False
260,male,asian,21,142.73,False
261,female,black,29,149.4,False
262,female,asian,19,162.6,False
263,male,white,14,157.44,True
264,male,asian,21,170.34,False
265,female,asian,19,172.99,False
266,female,asian,19,160.25,False
267,male,white,14,174.7,False
268,male,white,14,162.26,False
269,male,black,28,165.89,True
270,male,black,28,158.34,False
271,female,white,21,175.2,False
272,male,asian,21,151.55,False
273,female,white,21,164.01,False
274,male,black,28,166.47,True
275,female,asian,19,161.68,False
276,female,white,21,162.77,False
277,female,white,21,169.51,False
278,male,white,14,156.1,False
279,male,asian,21,165.62,False
280,male,asian,21,163.73,False
281,male,white,14,167.97,False
282,female,asian,19,168.18,False
283,female,asian,19,152.16,False
284,female,white,21,157.98,False
285,female,asian,19,169.96,False
286,male,asian,21,159.25,False
287,male,white,14,154.18,False
288,male,white,14,169.74,False
289,female,asian,19,165.5,False
290,male,asian,21,166.9,False
291,female,asian,19,158.11,False
292,male,white,14,167.33,False
293,female,asian,19,164.27,False
294,female,white,21,158.96,False
295,male,asian,21,152.16,False
296,male,asian,21,160.55,False
297,male,asian,21,171.81,False
298,female,asian,19,166.2,False
299,female,asian,19,164.13,False
300,female,asian,19,155.16,False
301,male,white,14,158.84,False
302,female,asian,19,155.54,False
303,female,white,21,158.51,False
304,female,white,21,145.85,False
305,male,asian,21,166.07,False
306,male,asian,21,158.81,False
307,female,asian,19,177.57,False
308,female,black,29,173.18,False
309,female,white,21,160.15,False
310,male,white,14,147.5,False
311,female,black,29,162.77,False
312,female,white,21,162.42,False
313,male,white,14,147.68,False
314,female,black,29,147.64,False
315,female,white,21,148.63,False
316,female,white,21,159.88,False
317,female,asian,19,166.11,False
318,female,white,21,148.56,False
319,female,white,21,162.0,False
320,female,white,21,173.57,False
321,male,asian,21,152.74,False
322,male,asian,21,153.02,False
323,female,black,29,163.06,False
324,female,asian,19,165.07,False
325,female,black,29,169.26,False
326,male,white,14,163.04,False
327,male,white,14,160.66,True
328,male,white,14,151.88,False
329,male,asian,21,165.21,False
330,male,white,14,157.07,False
331,male,asian,21,174.28,False
332,female,asian,19,160.93,False
333,male,white,14,161.48,False
334,male,black,28,154.05,False
335,female,white,21,139.04,False
336,male,asian,21,155.5,False
337,female,black,29,155.15,False
338,male,white,14,156.12,False
339,male,asian,21,159.83,False
340,female,asian,19,156.77,False
341,male,asian,21,169.23,False
342,female,black,29,144.12,False
343,male,white,14,163.88,False
344,male,white,14,164.27,False
345,male,white,14,164.33,False
346,male,asian,21,173.17,False
347,female,asian,19,174.85,False
348,female,white,21,151.17,False
349,female,white,21,170.54,False
350,female,white,21,157.58,False
351,female,asian,19,168.72,False
352,female,asian,19,162.18,False
353,male,asian,21,161.21,False
354,male,white,14,161.47,False
355,male,white,14,160.62,False
356,male,black,28,158.36,False
357,male,white,14,157.5,False
358,male,asian,21,164.76,False
359,male,white,14,160.95,True
360,male,asian,21,173.16,False
361,male,asian,21,147.57,False
362,female,asian,19,150.24,False
363,female,asian,19,167.76,False
364,male,white,14,161.13,False
365,female,white,21,150.31,False
366,male,asian,21,153.41,False
367,male,asian,21,153.72,False
368,female,white,21,155.18,False
369,female,white,21,166.33,False
370,male,white,14,157.3,False
371,female,white,21,162.47,False
372,male,white,14,139.53,False
373,male,black,28,143.06,False
374,female,asian,19,160.13,False
375,male,asian,21,169.52,False
376,male,white,14,162.37,False
377,female,black,29,153.84,False
378,female,white,21,145.91,False
379,female,white,21,153.13,False
380,male,black,28,171.52,False
381,male,black,28,162.09,False
382,female,white,21,160.45,False
383,male,white,14,151.38,False
384,male,asian,21,166.37,False
385,female,white,21,146.38,False
386,male,asian,21,158.37,False
387,male,black,28,167.92,False
388,male,white,14,168.29,False
389,female,asian,19,147.34,False
390,female,white,21,156.31,False
391,female,black,29,161.15,False
392,female,white,21,153.38,False
393,female,black,29,160.27,False
394,female,asian,19,169.42,False
395,female,asian,19,156.91,False
396,male,white,14,160.04,False
397,female,white,21,160.61,False
398,female,white,21,154.29,False
399,male,asian,21,157.36,False
400,male,white,14,156.83,False
401,female,white,21,169.91,False
402,male,white,14,167.39,False
403,female,white,21,165.25,False
404,male,black,28,151.47,False
405,male,asian,21,182.29,True
406,male,white,14,151.33,False
407,male,white,14,166.24,False
408,male,white,14,161.55,False
409,female,white,21,167.46,False
410,male,asian,21,157.7,False
411,male,asian,21,156.63,False
412,female,black,29,163.43,False
413,female,white,21,158.62,False
414,male,asian,21,153.8,False
415,female,white,21,161.06,False
416,male,asian,21,167.22,False
417,female,asian,19,165.37,False
418,male,asian,21,152.54,False
419,female,black,29,151.35,False
420,female,black,29,161.98,False
421,female,white,21,151.27,False
422,female,white,21,159.78,False
423,female,black,29,169.32,False
424,male,black,28,161.87,False
425,female,asian,19,146.98,False
426,female,white,21,143.46,False
427,female,white,21,172.63,True
428,male,white,14,159.06,False
429,male,white,14,162.64,False
430,female,asian,19,161.95,False
431,female,asian,19,152.21,False
432,female,white,21,158.12,False
433,male,black,28,157.53,False
434,female,black,29,160.51,False
435,female,white,21,166.5,False
436,female,black,29,149.07,False
437,female,asian,19,155.49,False
438,male,asian,21,157.98,False
439,male,black,28,154.27,False
440,male,white,14,162.74,False
441,female,white,21,152.08,False
442,female,asian,19,150.74,False
443,male,asian,21,147.1,False
444,male,white,14,167.04,False
445,male,asian,21,160.1,False
446,male,asian,21,159.94,False
447,male,asian,21,170.34,False
448,male,asian,21,154.54,False
449,male,asian,21,153.66,False
450,female,asian,19,173.81,False
451,male,white,14,146.94,False
452,male,white,14,159.24,False
453,male,asian,21,161.08,False
454,female,asian,19,163.1,False
455,female,asian,19,157.46,False
456,male,white,14,169.04,False
457,male,white,14,152.85,False
458,male,asian,21,167.93,False
459,female,black,29,177.19,False
460,female,white,21,160.87,False
461,female,white,21,168.47,False
462,male,asian,21,150.46,False
463,female,white,21,163.06,False
464,male,hispanic,23,168.01,False
465,male,black,28,165.31,False
466,female,black,29,164.9,False
467,female,black,29,155.05,False
468,male,white,14,148.76,True
469,male,white,14,174.92,False
470,female,white,21,162.14,False
471,male,black,28,161.4,False
472,female,asian,19,168.85,False
473,female,white,21,165.06,False
474,female,white,21,160.22,False
475,male,asian,21,142.89,False
476,male,black,28,151.27,False
477,male,black,28,162.82,False
478,male,white,14,164.94,False
479,male,asian,21,166.4,False
480,male,black,28,172.45,False
481,female,white,21,148.73,False
482,male,asian,21,147.02,False
483,male,asian,21,161.82,False
484,male,asian,21,153.75,False
485,male,asian,21,160.7,False
486,male,asian,21,147.62,False
487,male,asian,21,153.71,False
488,male,black,28,149.84,False
489,female,black,29,153.09,False
490,male,asian,21,148.66,False
491,male,white,14,164.41,False
492,female,asian,19,162.73,False
493,male,white,14,163.39,False
494,female,white,21,168.61,False
495,female,white,21,161.87,False
496,female,white,21,172.17,False
497,female,white,21,159.16,False
498,male,asian,21,151.55,False
499,female,asian,19,161.09,False
500,female,black,29,152.11,False
501,male,asian,21,147.91,False
502,female,asian,19,162.37,False
503,female,black,29,165.04,False
504,male,white,14,169.88,True
505,female,black,29,168.08,False
506,female,black,29,171.42,False
507,female,asian,19,154.01,False
508,female,asian,19,150.51,False
509,male,black,28,169.09,False
510,male,black,28,169.77,False
511,male,asian,21,149.63,True
512,male,black,28,155.09,False
513,male,white,14,174.45,False
514,male,asian,21,168.46,False
515,male,white,14,156.1,False
516,female,asian,19,140.9,False
517,male,white,14,153.49,False
518,female,asian,19,161.01,False
519,male,asian,21,155.03,False
520,male,white,14,141.35,False
521,female,asian,19,167.09,False
522,male,asian,21,167.48,False
523,male,white,14,165.24,False
524,female,black,29,169.23,False
525,male,asian,21,148.2,False
526,female,black,29,146.78,False
527,male,asian,21,146.16,False
528,male,white,14,159.3,False
529,male,white,14,166.35,False
530,male,black,28,156.92,False
531,male,black,28,166.67,False
532,male,white,14,150.83,False
533,male,white,14,156.85,False
534,female,black,29,180.67,False
535,male,white,14,152.57,False
536,male,white,14,153.68,False
537,male,white,14,158.33,False
538,female,asian,19,158.23,False
539,male,white,14,161.06,False
540,female,white,21,167.63,False
541,male,asian,21,166.6,False
542,male,asian,21,174.39,False
543,male,white,14,166.08,False
544,female,black,29,178.76,False
545,female,white,21,170.83,False
546,female,asian,19,166.81,False
547,male,white,14,142.35,False
548,male,white,14,157.64,False
549,female,asian,19,162.45,False
550,male,white,14,157.07,False
551,male,asian,21,172.36,False
552,female,asian,19,165.45,False
553,female,asian,19,157.79,False
554,male,asian,21,165.83,True
555,female,black,29,154.81,False
556,male,white,14,154.96,True
557,female,white,21,170.63,False
558,female,white,21,163.19,False
559,female,asian,19,167.74,False
560,female,asian,19,154.8,False
561,female,black,29,153.99,False
562,female,asian,19,161.54,False
563,male,asian,21,153.32,False
564,female,white,21,150.99,False
565,male,black,28,138.77,False
566,male,asian,21,163.78,False
567,male,black,28,158.67,False
568,male,asian,21,169.64,False
569,female,asian,19,173.6,False
570,male,asian,21,160.81,False
571,male,black,28,169.41,False
572,female,white,21,159.73,False
573,male,asian,21,156.55,False
574,male,black,28,157.01,False
575,female,white,21,170.22,False
576,female,asian,19,160.36,False
577,female,black,29,163.39,False
578,male,white,14,158.15,False
579,male,asian,21,148.69,False
580,male,asian,21,171.12,False
581,male,black,28,160.34,False
582,male,asian,21,159.68,False
583,male,asian,21,170.31,False
584,male,asian,21,159.93,False
585,female,white,21,149.19,False
586,female,black,29,161.85,False
587,male,white,14,162.76,False
588,male,black,28,153.76,True
589,male,black,28,149.35,False
590,female,asian,19,150.44,False
591,male,asian,21,159.39,False
592,female,asian,19,157.28,False
593,female,asian,19,159.94,False
594,male,white,14,160.21,False
595,female,white,21,152.15,False
596,female,white,21,154.9,False
597,male,asian,21,160.41,False
598,male,white,14,159.95,False
599,female,black,29,159.09,False
600,male,asian,21,153.0,False
601,male,asian,21,156.78,False
602,female,asian,19,163.23,False
603,female,white,21,148.51,False
604,male,asian,21,173.71,False
605,male,asian,21,159.06,False
606,female,asian,19,154.87,False
607,female,white,21,169.51,False
608,male,white,14,157.43,False
609,female,white,21,164.63,False
610,male,white,14,172.73,False
611,female,white,21,167.62,False
612,female,white,21,160.17,False
613,female,asian,19,159.12,False
614,male,asian,21,158.29,False
615,male,white,14,162.11,False
616,female,asian,19,155.41,False
617,male,asian,21,148.37,False
618,male,white,14,161.05,False
619,female,white,21,147.07,False
620,male,white,14,157.29,False
621,male,white,14,161.42,False
622,male,asian,21,175.85,False
623,male,black,28,160.57,False
624,male,white,14,168.39,False
625,male,black,28,172.84,False
626,male,white,14,165.31,False
627,male,white,14,167.68,False
628,female,asian,19,161.21,False
629,female,asian,19,164.02,False
630,male,asian,21,154.66,False
631,male,black,28,165.29,False
632,female,asian,19,165.07,False
633,male,hispanic,23,160.51,False
634,male,white,14,157.98,False
635,male,asian,21,159.89,False
636,female,black,29,165.68,False
637,female,asian,19,161.03,False
638,male,asian,21,172.31,True
639,female,black,29,161.35,False
640,male,white,14,157.5,False
641,female,black,29,162.87,False
642,male,asian,21,168.38,False
643,male,black,28,167.46,False
644,male,asian,21,148.14,False
645,male,white,14,149.51,False
646,female,asian,19,173.73,False
647,male,asian,21,146.28,False
648,female,white,21,167.94,False
649,male,black,28,159.11,False
650,female,white,21,158.25,False
651,male,asian,21,164.78,False
652,male,black,28,161.74,False
653,female,asian,19,156.43,False
654,female,asian,19,163.67,False
655,male,asian,21,166.26,False
656,female,white,21,157.17,False
657,male,asian,21,168.56,False
658,male,asian,21,166.47,False
659,female,white,21,162.29,False
660,female,asian,19,156.06,False
661,female,asian,19,159.75,True
662,male,asian,21,153.39,False
663,female,white,21,168.73,False
664,female,asian,19,164.76,False
665,female,asian,19,143.86,False
666,female,asian,19,147.07,False
667,male,asian,21,164.89,False
668,female,asian,19,161.64,False
669,female,white,21,149.91,False
670,male,white,14,160.2,False
671,female,white,21,154.27,False
672,male,asian,21,158.12,False
673,female,asian,19,150.49,False
674,male,white,14,161.38,False
675,male,black,28,151.08,True
676,male,white,14,160.8,False
677,male,black,28,170.35,True
678,male,white,14,160.27,False
679,female,asian,19,158.31,False
680,female,asian,19,154.81,False
681,female,black,29,162.56,False
682,male,black,28,149.07,False
683,male,white,14,153.18,False
684,male,asian,21,154.43,False
685,female,white,21,161.91,False
686,male,white,14,163.88,False
687,male,asian,21,165.06,False
688,female,asian,19,148.51,False
689,male,white,14,158.52,False
690,male,white,14,158.77,False
691,male,white,14,164.77,False
692,female,asian,19,156.31,False
693,female,white,21,181.76,False
694,female,black,29,166.64,False
695,male,white,14,162.3,False
696,female,white,21,175.51,False
697,female,black,29,164.99,False
698,male,white,14,155.97,False
699,female,asian,19,142.77,False
700,male,asian,21,156.54,False
701,male,white,14,165.36,True
702,male,white,14,146.68,False
703,female,asian,19,164.62,False
704,female,asian,19,177.48,False
705,male,asian,21,160.13,False
706,male,white,14,159.99,False
707,female,white,21,150.47,False
708,male,white,14,162.21,False
709,male,black,28,159.91,False
710,male,asian,21,165.07,False
711,male,black,28,146.21,False
712,male,white,14,154.21,False
713,female,black,29,161.05,False
714,male,white,14,150.67,False
715,female,black,29,143.08,False
716,female,black,29,159.43,False
717,male,black,28,149.44,False
718,male,black,28,169.05,False
719,male,asian,21,164.28,True
720,female,white,21,165.94,False
721,female,asian,19,161.29,False
722,male,white,14,158.56,True
723,male,black,28,150.86,False
724,male,black,28,158.94,False
725,male,white,14,167.59,False
726,male,white,14,168.06,False
727,male,asian,21,165.63,False
728,female,white,21,148.68,False
729,male,asian,21,157.19,False
730,female,asian,19,158.42,False
731,female,black,29,151.54,False
732,male,asian,21,158.22,False
733,male,asian,21,150.58,True
734,female,asian,19,148.81,False
735,female,asian,19,153.46,False
736,female,white,21,151.17,False
737,female,white,21,162.86,False
738,male,black,28,159.72,False
739,male,asian,21,171.25,False
740,female,black,29,164.56,True
741,male,black,28,154.48,False
742,female,white,21,152.93,False
743,male,white,14,149.61,False
744,male,white,14,170.0,False
745,male,white,14,162.37,False
746,male,white,14,159.31,False
747,male,black,28,166.86,False
748,female,asian,19,161.19,False
749,female,white,21,164.37,False
750,male,black,28,166.45,False
751,male,white,14,163.04,False
752,male,asian,21,163.37,False
753,male,asian,21,161.2,False
754,female,white,21,171.8,False
755,female,asian,19,149.27,False
756,male,black,28,171.02,False
757,female,white,21,142.91,False
758,female,white,21,155.68,False
759,male,white,14,149.97,False
760,male,white,14,165.09,False
761,male,black,28,156.69,False
762,male,black,28,168.78,False
763,male,white,14,162.15,False
764,female,asian,19,163.58,False
765,female,asian,19,142.58,False
766,female,white,21,164.85,False
767,male,black,28,164.33,False
768,male,black,28,148.75,False
769,female,asian,19,158.2,False
770,female,white,21,163.5,False
771,female,white,21,162.14,False
772,female,black,29,156.98,False
773,male,asian,21,162.13,False
774,female,asian,19,159.18,False
775,male,black,28,162.8,False
776,male,white,14,152.84,False
777,female,asian,19,167.41,False
778,female,asian,19,173.36,False
779,female,asian,19,159.14,False
780,female,asian,19,161.0,False
781,female,white,21,158.82,False
782,female,white,21,160.69,False
783,female,black,29,144.96,False
784,female,white,21,158.11,False
785,female,asian,19,156.1,False
786,female,white,21,161.57,False
787,male,black,28,151.68,False
788,male,asian,21,155.32,False
789,male,black,28,156.79,False
790,male,white,14,162.85,False
791,female,asian,19,162.29,False
792,female,white,21,162.25,False
793,female,asian,19,174.55,False
794,male,asian,21,157.1,False
795,male,asian,21,153.09,False
796,female,white,21,152.72,False
797,male,asian,21,153.32,False
798,female,asian,19,166.53,False
799,female,asian,19,159.01,False
800,male,asian,21,157.06,False
801,male,asian,21,157.26,False
802,male,black,28,161.49,False
803,male,white,14,169.72,False
804,female,black,29,157.41,False
805,male,asian,21,161.28,True
806,male,white,14,174.09,False
807,male,asian,21,154.13,False
808,male,white,14,154.05,True
809,male,asian,21,174.13,False
810,female,white,21,157.94,False
811,male,asian,21,157.61,False
812,male,white,14,168.69,False
813,female,white,21,146.46,False
814,female,asian,19,156.47,False
815,female,asian,19,157.44,False
816,female,black,29,166.37,False
817,male,white,14,151.36,False
818,male,white,14,164.87,False
819,female,asian,19,162.35,False
820,male,white,14,152.55,False
821,male,white,14,150.13,False
822,female,white,21,171.81,False
823,female,black,29,156.04,False
824,male,black,28,161.59,False
825,female,white,21,142.41,False
826,female,white,21,154.37,False
827,male,asian,21,155.39,False
828,female,asian,19,164.4,False
829,male,white,14,151.06,False
830,female,asian,19,153.83,False
831,female,white,21,148.97,False
832,female,asian,19,173.48,False
833,female,white,21,169.15,False
834,female,white,21,164.89,False
835,female,asian,19,155.17,False
836,male,black,28,140.11,False
837,male,white,14,157.59,False
838,female,white,21,154.58,False
839,female,black,29,157.43,False
840,female,white,21,163.52,False
841,male,asian,21,169.59,False
842,male,asian,21,154.18,False
843,male,black,28,157.86,False
844,male,asian,21,143.5,False
845,female,white,21,158.97,False
846,female,black,29,165.86,False
847,male,white,14,155.28,False
848,female,white,21,172.9,False
849,male,asian,21,163.7,False
850,male,black,28,158.25,False
851,male,white,14,151.79,False
852,female,white,21,160.93,False
853,male,white,14,164.87,False
854,female,black,29,157.28,False
855,male,asian,21,163.57,False
856,male,asian,21,159.84,False
857,male,white,14,152.86,False
858,female,white,21,161.91,False
859,male,asian,21,170.13,False
860,male,asian,21,161.27,False
861,female,white,21,147.1,False
862,male,asian,21,165.84,False
863,male,white,14,160.55,True
864,male,asian,21,160.26,False
865,female,black,29,163.45,False
866,male,hispanic,23,152.7,False
867,male,white,14,157.7,False
868,female,asian,19,165.48,False
869,male,white,14,138.87,False
870,female,asian,19,156.23,False
871,male,asian,21,143.72,False
872,male,white,14,143.54,False
873,female,white,21,162.75,False
874,female,black,29,159.9,False
875,male,white,14,161.22,False
876,male,asian,21,164.58,False
877,male,asian,21,148.52,True
878,female,white,21,169.35,False
879,female,white,21,154.24,False
880,female,asian,19,169.0,False
881,female,white,21,160.37,False
882,male,white,14,173.97,False
883,female,asian,19,170.99,False
884,male,white,14,157.63,False
885,male,white,14,154.1,False
886,male,asian,21,161.6,False
887,female,black,29,161.7,False
888,male,white,14,176.61,False
889,male,white,14,161.1,False
890,female,asian,19,157.73,False
891,male,black,28,165.88,False
892,female,asian,19,160.45,False
893,female,asian,19,156.97,False
894,male,asian,21,169.46,False
895,male,white,14,162.31,False
896,female,white,21,176.71,False
897,female,white,21,156.59,False
898,female,white,21,150.21,False
899,female,white,21,144.05,False
900,female,black,29,155.77,False
901,male,white,14,173.97,False
902,male,white,14,162.02,False
903,male,white,14,154.5,False
904,male,white,14,149.17,False
905,male,asian,21,151.38,False
906,male,asian,21,152.69,False
907,male,black,28,157.66,False
908,female,white,21,155.2,False
909,female,asian,19,152.19,False
910,female,black,29,167.65,False
911,male,white,14,155.97,False
912,male,hispanic,23,167.38,False
913,female,white,21,149.33,False
914,female,white,21,160.84,False
915,female,white,21,175.21,False
916,male,white,14,163.63,False
917,female,asian,19,179.05,False
918,female,black,29,151.46,False
919,male,black,28,154.18,False
920,female,asian,19,151.03,False
921,male,white,14,161.78,False
922,male,asian,21,148.95,False
923,female,white,21,159.08,False
924,female,black,29,171.69,False
925,male,asian,21,156.05,False
926,female,black,29,170.31,False
927,male,black,28,174.91,False
928,female,asian,19,169.87,False
929,male,white,14,147.08,False
930,female,white,21,145.58,False
931,male,black,28,162.12,False
932,female,white,21,163.79,False
933,male,hispanic,23,169.55,False
934,male,asian,21,145.01,False
935,male,black,28,181.5,True
936,male,asian,21,167.12,False
937,female,asian,19,166.58,False
938,female,white,21,163.05,False
939,male,black,28,169.43,False
940,female,black,29,158.9,False
941,male,asian,21,159.71,False
942,male,white,14,164.96,False
943,female,white,21,165.11,False
944,female,asian,19,165.47,False
945,female,asian,19,161.2,False
946,male,asian,21,156.62,False
947,female,asian,19,166.03,False
948,male,white,14,166.78,False
949,male,asian,21,170.41,False
950,male,black,28,160.97,False
951,female,white,21,169.39,False
952,male,white,14,175.85,True
953,female,black,29,161.94,False
954,female,white,21,151.46,False
955,male,white,14,162.6,False
956,female,asian,19,152.97,False
957,male,white,14,161.12,True
958,female,black,29,162.06,False
959,male,asian,21,151.94,False
960,female,white,21,154.4,False
961,male,black,28,157.98,False
962,female,asian,19,157.94,False
963,female,asian,19,150.17,False
964,female,white,21,160.56,False
965,female,black,29,163.84,False
966,male,asian,21,155.19,False
